Mod:Item:MetaData, Localized Name
forestry:stairs.fireproof.palm:0, Palm Stairs (Fireproof)
forestry:stairs.fireproof.papaya:0, Papaya Stairs (Fireproof)
forestry:stairs.fireproof.pine:0, Pine Stairs (Fireproof)
forestry:stairs.fireproof.plum:0, Plum Stairs (Fireproof)
forestry:stairs.fireproof.maple:0, Maple Stairs (Fireproof)
forestry:stairs.fireproof.citrus:0, Citrus Stairs (Fireproof)
forestry:stairs.fireproof.giganteum:0, Giant Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.ipe:0, Ipe Stairs (Fireproof)
forestry:stairs.fireproof.padauk:0, Padauk Stairs (Fireproof)
forestry:stairs.fireproof.cocobolo:0, Cocobolo Stairs (Fireproof)
forestry:stairs.fireproof.zebrawood:0, Zebrawood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.oak:0, Oak Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.spruce:0, Spruce Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.birch:0, Birch Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.jungle:0, Jungle Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.acacia:0, Acacia Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.dark_oak:0, Dark Oak Wood Stairs (Fireproof)
forestry:doors.larch:0, Larch Door
forestry:doors.teak:0, Teak Door
forestry:doors.acacia:0, Desert Acacia Door
forestry:doors.lime:0, Lime Door
forestry:doors.chestnut:0, Chestnut Door
forestry:doors.wenge:0, Wenge Door
forestry:doors.baobab:0, Baobab Door
forestry:doors.sequoia:0, Sequoia Door
forestry:doors.kapok:0, Kapok Door
forestry:doors.ebony:0, Ebony Door
forestry:doors.mahogany:0, Mahogany Door
forestry:doors.balsa:0, Balsa Door
forestry:doors.willow:0, Willow Door
forestry:doors.walnut:0, Walnut Door
forestry:doors.greenheart:0, Greenheart Door
forestry:doors.cherry:0, Cherry Door
forestry:doors.mahoe:0, Mahoe Door
forestry:doors.poplar:0, Poplar Door
forestry:doors.palm:0, Palm Door
forestry:doors.papaya:0, Papaya Door
forestry:doors.pine:0, Pine Door
forestry:doors.plum:0, Plum Door
forestry:doors.maple:0, Maple Door
forestry:doors.citrus:0, Citrus Door
forestry:doors.giganteum:0, Giant Sequoia Door
forestry:doors.ipe:0, Ipe Door
forestry:doors.padauk:0, Padauk Door
forestry:doors.cocobolo:0, Cocobolo Door
forestry:doors.zebrawood:0, Zebrawood Door
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Apple Oak Leaves
forestry:leaves.decorative.0:1, Dark Oak Leaves
forestry:leaves.decorative.0:2, Silver Birch Leaves
forestry:leaves.decorative.0:3, Silver Lime Leaves
forestry:leaves.decorative.0:4, Common Walnut Leaves
forestry:leaves.decorative.0:5, Sweet Chestnut Leaves
forestry:leaves.decorative.0:6, Hill Cherry Leaves
forestry:leaves.decorative.0:7, Lemon Leaves
forestry:leaves.decorative.0:8, Plum Leaves
forestry:leaves.decorative.0:9, Sugar Maple Leaves
forestry:leaves.decorative.0:10, Red Spruce Leaves
forestry:leaves.decorative.0:11, Mundane Larch Leaves
forestry:leaves.decorative.0:12, Bull Pine Leaves
forestry:leaves.decorative.0:13, Coast Sequoia Leaves
forestry:leaves.decorative.0:14, Giant Sequoia Leaves
forestry:leaves.decorative.0:15, Jungle Leaves
forestry:leaves.decorative.1:0, Teak Leaves
forestry:leaves.decorative.1:1, Ipe Leaves
forestry:leaves.decorative.1:2, Kapok Leaves
forestry:leaves.decorative.1:3, Myrtle Ebony Leaves
forestry:leaves.decorative.1:4, Zebrawood Leaves
forestry:leaves.decorative.1:5, Yellow Meranti Leaves
forestry:leaves.decorative.1:6, Acacia Leaves
forestry:leaves.decorative.1:7, Desert Acacia Leaves
forestry:leaves.decorative.1:8, Padauk Leaves
forestry:leaves.decorative.1:9, Balsa Leaves
forestry:leaves.decorative.1:10, Cocobolo Leaves
forestry:leaves.decorative.1:11, Wenge Leaves
forestry:leaves.decorative.1:12, Grandidier's Baobab Leaves
forestry:leaves.decorative.1:13, Blue Mahoe Leaves
forestry:leaves.decorative.1:14, White Willow Leaves
forestry:leaves.decorative.1:15, Sipiri Leaves
forestry:leaves.decorative.2:0, Papaya Leaves
forestry:leaves.decorative.2:1, Date Palm Leaves
forestry:leaves.decorative.2:2, White Poplar Leaves
forestry:tree_chest:0, Arborist's Chest
forestry:butterfly_chest:0, Lepidopterist's Chest
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
forestry:book_forester, Forester's Manual
forestry:apiarist_bag, Apiarist's Backpack
forestry:lepidopterist_bag, Lepidopterist's Backpack
forestry:miner_bag, Mining Backpack
forestry:miner_bag_t2, Woven Mining Backpack
forestry:digger_bag, Digging Backpack
forestry:digger_bag_t2, Woven Digging Backpack
forestry:forester_bag, Foresting Backpack
forestry:forester_bag_t2, Woven Foresting Backpack
forestry:hunter_bag, Hunting Backpack
forestry:hunter_bag_t2, Woven Hunting Backpack
forestry:adventurer_bag, Adventuring Backpack
forestry:adventurer_bag_t2, Woven Adventuring Backpack
forestry:builder_bag, Building Backpack
forestry:builder_bag_t2, Woven Building Backpack
forestry:genetic_filter:0, Genetic Filter
forestry:honeyed_slice, Honeyed Slice
forestry:ambrosia, Ambrosia
forestry:honey_pot, Honey Pot
forestry:crate, Crate
forestry:fluid.bio.ethanol, Ethanol
forestry:fluid.biomass, Biomass
forestry:fluid.glass, Liquid Glass
forestry:fluid.for.honey, Honey
forestry:fluid.ice, Crushed Ice
forestry:fluid.juice, Fruit Juice
forestry:fluid.milk, Milk
forestry:fluid.seed.oil, Seed Oil
forestry:fluid.short.mead, Short Mead
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:greenhouse:0, Greenhouse Block
forestry:greenhouse:3, Greenhouse Energy Distributor
forestry:greenhouse:4, Greenhouse Control
forestry:greenhouse:5, Greenhouse Screen
forestry:climatiser:0, Greenhouse Hygroregulator
forestry:climatiser:1, Greenhouse Heater
forestry:climatiser:2, Greenhouse Fan
forestry:climatiser:3, Greenhouse Humidifier
forestry:climatiser:4, Greenhouse Dehumidifier
forestry:greenhouse_screen, Portable Greenhouse Screen
forestry:camouflage_spray_can, Camouflage Spray Can
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
extrautils2:simpledecorative:1, Block of Demon Metal
extrautils2:simpledecorative:2, Block of Evil Infused Iron
extrautils2:creativechest, Creative Chest
extrautils2:creativeenergy, Creative Energy Source
extrautils2:creativeharvest, Creative Harvest
extrautils2:trowel, Trowel
extrautils2:biomemarker, Biome Marker
extrautils2:terraformer:0, Terraformer
extrautils2:terraformer:1, Antenna
extrautils2:terraformer:2, Humidifier
extrautils2:terraformer:3, Dehumidifier
extrautils2:terraformer:4, Heater
extrautils2:terraformer:5, Cooler
extrautils2:terraformer:6, Dehostilifier
extrautils2:terraformer:7, Magic Absorbtion
extrautils2:terraformer:8, Magic Infuser
extrautils2:terraformer:9, Climograph Base Unit
extrautils2:trashchest, Trash Chest
extrautils2:opinium:0, Opinium Core (Pathetic)
extrautils2:opinium:1, Opinium Core (Mediocre)
extrautils2:opinium:2, Opinium Core (Passable)
extrautils2:opinium:3, Opinium Core (Decent)
extrautils2:opinium:4, Opinium Core (Good)
extrautils2:opinium:5, Opinium Core (Damn Good)
extrautils2:opinium:6, Opinium Core (Amazing)
extrautils2:opinium:7, Opinium Core (Inspiring)
extrautils2:opinium:8, Opinium Core (Perfected)
extrautils2:lawsword, Kikoku
extrautils2:flattransfernode:0, Flat Transfer Node (Items)
extrautils2:flattransfernode:1, Flat Transfer Node (Fluids)
extrautils2:analogcrafter, Analog Crafter
extrautils2:decorativebedrock:0, Bedrock Bricks
extrautils2:decorativebedrock:1, Bedrock Slabs
extrautils2:decorativebedrock:2, Bedrock Cobblestone
extrautils2:compoundbow, Compound Bow
extrautils2:fireaxe, Fire Axe
extrautils2:interactionproxy, Ender Porcupine
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:0, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:1, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:2, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:3, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:4, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:5, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:6, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:luxsaber:7, Lux Saber
extrautils2:ironwood_leaves:0, Ferrous-Juniper Leaves
extrautils2:ironwood_leaves:1, Burnt Ferrous-Juniper Leaves
extrautils2:ironwood_log:0, Ferrous-Juniper Log
extrautils2:ironwood_log:1, Ferrous-Juniper Log
extrautils2:ironwood_sapling:0, Ferrous-Juniper Sapling
extrautils2:ironwood_sapling:1, Dead Ferrous-Juniper Sapling
extrautils2:ironwood_planks:0, Ferrous-Juniper Planks
extrautils2:ironwood_planks:1, Raw Ferrous-Juniper Planks
moreplates:black_quartz_gear, Black Quartz Gear
moreplates:black_quartz_plate, Black Quartz Plate
moreplates:diamatine_gear, Diamatine Gear
moreplates:diamatine_plate, Diamatine Plate
moreplates:emeradic_gear, Emeradic Gear
moreplates:emeradic_plate, Emeradic Plate
moreplates:enori_gear, Enori Gear
moreplates:enori_plate, Enori Plate
moreplates:palis_gear, Palis Gear
moreplates:palis_plate, Palis Plate
moreplates:restonia_gear, Restonia Gear
moreplates:restonia_plate, Restonia Plate
moreplates:void_gear, Void Gear
moreplates:void_plate, Void Plate
moreplates:empowered_diamatine_gear, Empowered Diamatine Gear
moreplates:empowered_diamatine_plate, Empowered Diamatine Plate
moreplates:empowered_emeradic_gear, Empowered Emeradic Gear
moreplates:empowered_emeradic_plate, Empowered Emeradic Plate
moreplates:empowered_enori_gear, Empowered Enori Gear
moreplates:empowered_enori_plate, Empowered Enori Plate
moreplates:empowered_palis_gear, Empowered Palis Gear
moreplates:empowered_palis_plate, Empowered Palis Plate
moreplates:empowered_restonia_gear, Empowered Restonia Gear
moreplates:empowered_restonia_plate, Empowered Restonia Plate
moreplates:empowered_void_gear, Empowered Void Gear
moreplates:empowered_void_plate, Empowered Void Plate
moreplates:certus_quartz_gear, Certus Quartz Gear
moreplates:certus_quartz_plate, Certus Quartz Plate
moreplates:fluix_gear, Fluix Gear
moreplates:fluix_plate, Fluix Plate
moreplates:awakened_draconium_gear, Awakened Draconium Gear
moreplates:awakened_draconium_plate, Awakened Draconium Plate
moreplates:draconium_gear, Draconium Gear
moreplates:draconium_plate, Draconium Plate
moreplates:conductive_iron_gear, Conductive Iron Gear
moreplates:conductive_iron_plate, Conductive Iron Plate
moreplates:dark_steel_gear, Dark Steel Gear
moreplates:dark_steel_plate, Dark Steel Plate
moreplates:electrical_steel_gear, Electrical Steel Gear
moreplates:electrical_steel_plate, Electrical Steel Plate
moreplates:end_steel_gear, End Steel Gear
moreplates:end_steel_plate, End Steel Plate
moreplates:energetic_alloy_gear, Energetic Alloy Gear
moreplates:energetic_alloy_plate, Energetic Alloy Plate
moreplates:iron_alloy_gear, Iron Alloy Gear
moreplates:iron_alloy_plate, Iron Alloy Plate
moreplates:pulsating_iron_gear, Pulsating Iron Gear
moreplates:pulsating_iron_plate, Pulsating Iron Plate
moreplates:redstone_alloy_gear, Redstone Alloy Gear
moreplates:redstone_alloy_plate, Redstone Alloy Plate
moreplates:soularium_gear, Soularium Gear
moreplates:soularium_plate, Soularium Plate
moreplates:vibrant_alloy_gear, Vibrant Alloy Gear
moreplates:vibrant_alloy_plate, Vibrant Alloy Plate
moreplates:crude_steel_gear, Crude Steel Gear
moreplates:crude_steel_plate, Crude Steel Plate
moreplates:crystalline_alloy_gear, Crystalline Alloy Gear
moreplates:crystalline_alloy_plate, Crystalline Alloy Plate
moreplates:crystalline_pink_slime_gear, Crystalline Pink Slime Gear
moreplates:crystalline_pink_slime_plate, Crystalline Pink Slime Plate
moreplates:energetic_silver_gear, Energetic Silver Gear
moreplates:energetic_silver_plate, Energetic Silver Plate
moreplates:melodic_alloy_gear, Melodic Alloy Gear
moreplates:melodic_alloy_plate,  Melodic Alloy Plate
moreplates:stellar_alloy_gear, Stellar Alloy Gear
moreplates:stellar_alloy_plate, Stellar Alloy Plate
moreplates:vivid_alloy_gear, Vivid Alloy Gear
moreplates:vivid_alloy_plate, Vivid Alloy Plate
moreplates:demon_gear, Demon Gear
moreplates:demon_plate, Demon Plate
moreplates:enchanted_gear, Enchanted Gear
moreplates:enchanted_plate, Enchanted Plate
moreplates:evil_infused_iron_gear, Evil Infused Iron Gear
moreplates:evil_infused_iron_plate, Evil Infused Iron Plate
moreplates:osmium_gear, Osmium Gear
moreplates:osmium_plate, Osmium Plate
moreplates:refined_glowstone_gear, Refined Glowstone Gear
moreplates:refined_glowstone_plate, Refined Glowstone Plate
moreplates:refined_obsidian_gear, Refined Obsidian Gear
moreplates:refined_obsidian_plate, Refined Obsidian Plate
moreplates:bronze_stick, Bronze Rod
moreplates:constantan_stick, Constantan Rod
moreplates:electrum_stick, Electrum Rod
moreplates:enderium_stick, Enderium Rod
moreplates:invar_stick, Invar Rod
moreplates:lead_stick, Lead Rod
moreplates:lumium_stick, Lumium Rod
moreplates:mana_infused_stick, Mana Infused Rod
moreplates:nickel_stick, Nickel Rod
moreplates:platinum_stick, Platinum Rod
moreplates:signalum_stick, Signalum Rod
moreplates:silicon_gear, Silicon Gear
moreplates:silver_stick, Silver Rod
moreplates:tin_stick, Tin Rod
moreplates:coal_gear, Coal Gear
moreplates:coal_plate, Coal Plate
moreplates:diamond_plate, Diamond Plate
moreplates:emerald_plate, Emerald Plate
moreplates:glowstone_gear, Glowstone Gear
moreplates:glowstone_plate, Glowstone Plate
moreplates:gold_stick, Gold Rod
moreplates:lapis_lazuli_gear, Lapis Lazuli Gear
moreplates:lapis_lazuli_plate, Lapis Lazuli Plate
moreplates:nether_quartz_gear, Nether Quartz Gear
moreplates:nether_quartz_plate, Nether Quartz Plate
moreplates:redstone_plate, Redstone Plate
moreplates:ardite_gear, Ardite Gear
moreplates:ardite_plate, Ardite Plate
moreplates:cobalt_gear, Cobalt Gear
moreplates:cobalt_plate, Cobalt Plate
moreplates:knightslime_gear, Knightslime Gear
moreplates:knightslime_plate, Knightslime Plate
moreplates:manyullyn_gear, Manyullyn Gear
moreplates:manyullyn_plate, Manyullyn Plate
moreplates:pig_iron_gear, Pig Iron Gear
moreplates:pig_iron_plate, Pig Iron Plate
rustic:olive_oil, Olive Oil
rustic:ironberry_juice, Ironberry Juice
rustic:wildberry_juice, Wildberry Juice
rustic:grape_juice, Grape Juice
rustic:apple_juice, Apple Juice
rustic:ale_wort, Ale Wort
rustic:honey, Honey
rustic:stone_pillar, Stone Pillar
rustic:andesite_pillar, Andesite Pillar
rustic:diorite_pillar, Diorite Pillar
rustic:granite_pillar, Granite Pillar
rustic:slate_pillar, Slate Pillar
rustic:chain, Iron Chain
rustic:candle, Iron Candle
rustic:chandelier, Iron Chandelier Ring
rustic:chain_gold, Golden Chain
rustic:candle_gold, Golden Candle
rustic:chandelier_gold, Golden Chandelier Ring
rustic:beehive, Beehive
rustic:apiary, Apiary
rustic:slate, Slate
rustic:slate_roof, Slate Roof
rustic:slate_tile, Slate Tile
rustic:slate_brick, Slate Brick
rustic:slate_chiseled, Chiseled Slate
rustic:stairs_slate_roof, Slate Roof Stairs
rustic:slate_roof_slab_item, Slate Roof Slab
rustic:stairs_slate_brick, Slate Brick Stairs
rustic:slate_brick_slab_item, Slate Brick Slab
rustic:clay_wall, Clay Wall
rustic:clay_wall_cross, Crossed Clay Wall
rustic:clay_wall_diag, Diagonal Clay Wall
rustic:chair_oak, Oak Chair
rustic:chair_big_oak, Dark Oak Chair
rustic:chair_birch, Birch Chair
rustic:chair_spruce, Spruce Chair
rustic:chair_acacia, Acacia Chair
rustic:chair_jungle, Jungle Chair
rustic:chair_olive, Olive Wood Chair
rustic:chair_ironwood, Ironwood Chair
rustic:table_oak, Oak Table
rustic:table_big_oak, Dark Oak Table
rustic:table_birch, Birch Table
rustic:table_spruce, Spruce Table
rustic:table_acacia, Acacia Table
rustic:table_jungle, Jungle Table
rustic:table_olive, Olive Wood Table
rustic:table_ironwood, Ironwood Table
rustic:vase, Pot
rustic:barrel, Barrel
rustic:iron_lattice, Iron Lattice
rustic:iron_lantern, Iron Lantern
rustic:golden_lantern, Golden Lantern
rustic:painted_wood_white, White Painted Wood
rustic:painted_wood_orange, Orange Painted Wood
rustic:painted_wood_magenta, Magenta Painted Wood
rustic:painted_wood_light_blue, Light Blue Painted Wood
rustic:painted_wood_yellow, Yellow Painted Wood
rustic:painted_wood_lime, Lime Painted Wood
rustic:painted_wood_pink, Pink Painted Wood
rustic:painted_wood_gray, Gray Painted Wood
rustic:painted_wood_silver, Light Gray Painted Wood
rustic:painted_wood_cyan, Cyan Painted Wood
rustic:painted_wood_purple, Purple Painted Wood
rustic:painted_wood_blue, Blue Painted Wood
rustic:painted_wood_brown, Brown Painted Wood
rustic:painted_wood_green, Green Painted Wood
rustic:painted_wood_red, Red Painted Wood
rustic:painted_wood_black, Black Painted Wood
rustic:gargoyle, Gargoyle
rustic:cabinet, Cabinet
rustic:liquid_barrel, Liquid Barrel
rustic:fertile_soil, Fertile Soil
rustic:planks:0, Olive Wood Planks
rustic:planks:1, Ironwood Planks
rustic:log:0, Olive Wood
rustic:log:1, Ironwood
rustic:leaves:0, Olive Leaves
rustic:leaves:1, Ironwood Leaves
rustic:sapling:0, Olive Sapling
rustic:sapling:1, Ironwood Sapling
rustic:crushing_tub, Crushing Tub
rustic:evaporating_basin, Drying Basin
rustic:fence_olive, Olive Wood Fence
rustic:fence_ironwood, Ironwood Fence
rustic:fence_gate_olive, Olive Wood Fence Gate
rustic:fence_gate_ironwood, Ironwood Fence Gate
rustic:olive_slab_item, Olive Wood Slab
rustic:ironwood_slab_item, Ironwood Slab
rustic:stairs_olive, Olive Wood Stairs
rustic:stairs_ironwood, Ironwood Stairs
rustic:condenser, Alchemic Condenser
rustic:retort, Alchemic Retort
rustic:condenser_advanced, Advanced Alchemic Condenser
rustic:retort_advanced, Advanced Alchemic Retort
rustic:crop_stake, Wooden Stake
rustic:wildberry_bush, Wildberry Bush
rustic:rope, Rope
rustic:grape_stem, Grape Seeds
rustic:brewing_barrel, Brewing Barrel
rustic:apple_seeds, Apple Seeds
rustic:sapling_apple, Apple Sapling
rustic:leaves_apple, Apple Leaves
rustic:olive_door, Olive Door
rustic:ironwood_door, Ironwood Door
rustic:aloe_vera, Aloe Vera
rustic:blood_orchid, Blood Orchid
rustic:chamomile, Chamomile
rustic:cohosh, Cohosh
rustic:deathstalk_mushroom, Deathstalk Mushroom
rustic:horsetail, Horsetail
rustic:mooncap_mushroom, Mooncap Mushroom
rustic:wind_thistle, Wind Thistle
rustic:cloudsbluff, Cloudsbluff
rustic:core_root, Core Root
rustic:ginseng, Ginseng Root
rustic:marsh_mallow, Marsh Mallow Root
rustic:book, Almanac
rustic:bee, Bee
rustic:honeycomb, Honeycomb
rustic:beeswax, Beeswax
rustic:tallow, Tallow
rustic:olives, Olives
rustic:ironberries, Ironberries
rustic:fluid_bottle, Bottle of %s
rustic:dust_tiny_iron, Tiny Pile of Iron Dust
rustic:elixir, item.rustic.elixir.name
rustic:tomato, Tomato
rustic:tomato_seeds, Tomato Seeds
rustic:chili_pepper, Chili Pepper
